å adlyde,adlyder,adlød,har adlydt,obey
å ake,aker,akte,har akt,ride a toboggan
å akseptere,,,,accept
å anbefale,anbefaler,anbefalte,har anbefalte,recommend
å angre,angrer,angret,har angret,regret
å arbeide,arbeider,arbeidet,har arbeidet,work
å arrestere,arresterer,arresterte,har arrestert,arrest
å avslutte,avslutter,avslutte,har avsluttet,finish, terminate
å avbryte,avbryter,avbrøt,har avbrutt,intterupt, break (off)
å avvæpne,avvæpner,avvæpnet,har avvæpnet,disarm
å angre,angrer,angret,har angret,regret
å arbeide,arbeider,arbeidet,har arbeidet,work
å arrangere,arrangerer,arrangerte,har arrangert,arrange
å arve,arver,arvet,har arvet,inherit
å bade,bader,badet,har badet,bathe, swim
å bake,baker,bakte,har bakt,bake
å banke,banker,banket,har banket,beat, knock
å barbere,barberer,barberte,har barbert,shave
å be (om),ber (om),ba (om),har bedt (om),pray, ask for something
å bedra,bedrar,bedro,har bedratt,cheat, swindle
å begrense,begrenser,begrenset,har begrenset,limit, confine
å begripe,begriper,begri(i)p,har begrept,grasp, understand
å begrunne,begrunner,begrunnet,har begrunnet,state the reasons for
å begynne,begynner,begynte,har begynt,begin
å beherske,behersker,behersket,har behersket,master, control
å beite,beiter,beitet,har beitet,graze
å beklage,beklager,beklaget,har beklaget,sorry, apologise
å bekrefte,bekrefter,bekreftet,har bekreftet,verify, confirm
å bekymre,bekymrer,bekymret,har bekymret,worry
å beseire,beseirer,beseiret,har beseiret,defeat, conquery
å beskrive,beskriver,beskrev,har beskrevet,describe
å bestemme,bestemmer,bestemte,har bestemt,decide
å bestille,bestiller,bestilte,har bestilt,order
å bestå,består,besto,har bestått,pass, consist of
å besvare,besvarer,besvarte,har besvart,answer, reply to
å besøke,besøker,besøkte,har besøkt,visit
å betale,betaler,betalte,har betalt,pay
å betegne,betegner,betegnet,har betegnet,denote
å bety,betyr,betydde,har betydd,mean
å binde,binder,bandt,har bundet,link
å bite,biter,bet,har bitt,bite
å bleke,bleker,blekte,har blekt,bleach
å bli,blir,ble/blei,har blitt,remain, become
å bløffe om,bløffer om,bløffet om,har bløffet om,bluff
å blåse,blåser,blåste,har blåst,blow (of wind)
å bo,bor,bodde,har bodd,dwell, live
å brekke,brekker,brakk,har brukket,break
å brenne,brenner,brente,har brent,burn
å bringe,bringer,brakte,har brakt,bring
å briste,brister,brast,har bristet,break, burst
å bruke,bruker,brukte,har brukt,use
å bryte,bryter ,brøt,har brutt,break
å burde,bør,burde,har burdet,should, ought
å bygge,bygger,bygde,har bygd,build
å bytte,bytter,byttet,har byttet,exchange, change
å bære,bærer,bar,har båret,bear, carry
å bølge,bølger,bølget,har bølget,undulate
å bøye,bøyer,bøyde,har bøyd,bend, bow, conjugate
å danse,danser,danset,har danset,dance
å dekke,dekker,dekket,har dekket,set the table
å dele,deler,delte,har delt,divide, share
å demonstrere,demonstrerer,demonstrerte,har demonstrert,demonstrate
å dette,detter,datt,har dettet,fall
å dikte,dikter,diktet,har diktet,compose, write
å dikte opp,dikter opp,diktet opp,har diktet opp,invent, fabricate
å diskutere,diskuterer,diskuterte,har diskutert,discuss
å dra,drar,dro,har dratt,drag, travel
å drepe,dreper,dre[te,har drept,kill
å drikke,drikker,drakk,har drukket,drink
å driste,drister,dristet,har dristet,venture, dare to
å drive,driver,drev / dreiv,har drevet,operate, run
å drømme,drømmer,drømte,har drømt,dream
å dusje,dusjer,dusjet,har dusjet,shower
å dø,dør,dødde  / døde,har dødd,die
å eie,eier,eide,har eide,own
å elske,elsker,elsket,har elsket,love
å ende,ender,endte,har endt,end, finish, close
å erfare,erfarer,erfarte,har erfart,experience
å ete,eter,åt,har ett,eat
å evakuere,evakuerer,evakuerte,har evakuert,evacuate
å falle,faller,falt,har falt,fall
å fare,farer,for,har fart,go, travel, proceed
å feire,feirer,feiret,har feiret,celebrate
å finne,finner,fant,har funnet,find
å finnes,finnes,fantes,har funnes,be found, exist
å fjerne,fjerner,fjernet,har fjernet,remove
å fly,flyr,fløy,har fløyet,fly
å flykte,flykter,flyktet,har flyktet,excape
å flytte,flytter,flyttet,har flyttet,move
å forandre,forandreer,forandret,har forandret,change
å forbedre,forbedrer,forbedret,har forbedret,improve
å forberede,forbereder,forberedte,har forberedt,prepare
å foregå,foregår,foregikk,har foregått,happen, take place
å foreldes,foreldes,foreldet,har blitt / foreldes,become, obsolete
å forelegge,forelegger,forela,har forelagt,submit, place
å forelse,forelser,forelste,har forelest,lecture
å foreslå,foreslår,foreslo,har foreslått,propose, suggest
å foretrekke,foretrekker,foretrakk,har foretrukket,prefer
å forfølge,forfølger,forfølgte,har forfølgt,purse, persecute
å forklare,forklarer,forklarte,har forklart,explain
å forlate,forlater,forlot,har forlatt,leave
å forlenge,forlenger,forlenget,har forlenget,lengthen, extend
å forsone,forsoner,forsonet,har forsonet,reconcile
å forstyrre,forstyrrer,forstyrret,har forstyrret,disturb
forsvinne,forsvinner,forsvant,har forsvunnet,disappear, vanish
å forsyne,forsyner,forsynte,har forsynt,suppy, provide
å forsøke,forsøker,forsøkte,har forsøkt,try, attempt
å forte,forter,fortet,har fortet,hurry
å fortelle,forteller,fortalte,har fortalt,tell, explain
å fortsette,fortsetter,fortsatte,har fortsatt,continue
å forverre,forverrer,forverret,har forverret,make worse
å fotografere,fotograferer,fotograferte,har fotografert,photograph
å friste,frister,fristet,har fristet,tempt
å frykte,frykter,fryktet,har fryktet,fear
å fryse,fryser,frøs,har frosset,freeze
å fyke,fyker,føk,har føket,drift
å fylle ut,fyller ut,fylte ut,har fylt ut,fill in
å fø,før,fødde,har fødd,feed, nourish, support
å føde,føder,fødte,har født,bear
å følge (seg),følger (seg),følte (seg),har følt (seg),feel, know
å føne,føner,fønte,har ført,blow dry (hair)
å få,får,fikk,har fått,get, receive, may
å gange,ganger,ganget,har ganget,multiply
å gi,gir,ga / gav,har gitt,give
å gidde,gidder,gadd,har giddet,bother
å gifte (seg),gifter (seg),giftet (seg),har giftet (seg),marry
å gjelde,gjelder,gjalt / galdt,har gjalt / gjeldt,be valid, apply
å gjennomføre,gjennomfører,gjennomførte,har gjennomført,accomplish, carry out
å gjenta,gjentar,gjentok,har gjentatt,repeat
å gjespe,gjesper,gjespet,har gjespet,yawn, gape
å gjette,gjetter,gjettet,har gjettet,guess
å glede (seg),gleder (seg),gledet (seg),har sledet (seg),look forward to
å glemme,glemmer,glemte,har glemt,forget
å gli,glir,glei / gled,har glidd,slide
å glippe,glipper,glapp,har glippet,flip, fail
å gløde,glør,glødde,har glødd,glow
å gratulere,gratulerer,gratulerte,har gratulert,congratulate
å grave,graver,gravde,har gravd,dig
å gre,grer,gredde,har gredd,comb hair
å greie, greier,greide,har greid,master
å grille,griller,grillet,har grillet,grill, barbecue
å grine,griner,grinte,har grint,weep, cry
å gripe,griper,greip,har grepet,catch, size, grasp
å gruble,grubler,grublet,har grublet,ponder, muse
å gråte,gråter,gråt,har grått,cry
å gyve,gyver,gøyv,har gøyvet / gyvde,fly at
å handle,handler,handlet,har handlet,act, shop, deal with
å hende,hender,hendte,har hendt,happen
å henge,henger,hengte,har hengt,hang
å hente,henter,hentet,har hentet,fetch, bring, collect
å herske,hersker,hersket,har hersket,govern, rule
å hete,heter,het / hette,har hett,be named
å hilse,hilser,hilste,har hilst,greetings
å hindre,hindrer,hindret,har hindret,fetch, bring, collect
å hjelpe,hjelper,hjalp,har hjulpet,be named
å holde,holder,holdt,har holdt,keep, hold
å hoppe,hopper,hoppet,har hoppet,jump
å hoste,hoster,hostet,har hostet,cough
å huske,husker,husket,har husket,remember
å hviske,hvisker,hvisket,har hvisket,whisper
å høre,hører,hørte,har hørt,hear, listen
å håpe,håper,håpet,har håpet,hope
å identifisere,identifiserer,identifiserte,har identifisert,identify
å innrede,innreder,innredet,har innredet,fit out/up
å interessere,interesserer,interesserte,har interessert,interest
å banne,,,,swear
å be,,ba,har bedt,to ask, request
å be,ber,bad,har bedt,ask, request
å begrave,begraver,begravde,har begravd,bury
å begynne,begynner,begynte,har begynt,begin
å behandle,behandler,behandlet,har behandlet,handle, manage
å beholde,beholder,beholdt,har beholdt,retain, keep
å besøk,,,har besøkt,
å besøke,besøker,besøkte,har besøkt,visited
å bestemme,bestemmer,bestemte,har bestemte,decided
å bestille,bestiller,bestilte,har bestilt,
å bil,,,,
å bli,blir,ble,har blitt,
å bli,blir,ble,har blitt,
å bo,bor,bodde,har boddet,
å danse,danser,danset,har danset,
å døpe,,,,
å dra,drar,dro,har dratt,
å dra,drar,dro,har drott,
å drikke,drikker,drakk,har drukket,
å få,får,fikk,har fått,
å falle,faller,falt,har falt,fall
å finne,finner,fant,har funnet,
å flykte,flykter,,,
å følge,følger,,,feel
å forstå,forstår,forstått,har forstått,
å forstå,,forsto,har forstått,
å fortelle,forteller,fortalte,har fortalt,tell
å fortelle,forteller,fortalte,har fortalt,
å gå,går,gikk,har gått,gone/went
å går,gå,gikk,har gått,
å gi,gir,ga,har gitt,give
å gjenta,gjenta,gjentatt,har gjentatt,
å gjøre,gjør,gjorde,har gjort,
å gråte,gråte,gråt,har grått,
å handle om noe,,,,to talk about something
å hete,heter,het,har hett,
å hjelpe,hjelper,hjalp,har hjulpet,
å holde,holder,holdt,har holdt,hold
å høre,,,,
å huske,husker,husket,har husket,remember
å jobbe,jobber,jobbet,har jobbet,
å jogge,jogger,jogget,har jogget,
å kjøpe,kjøper,kjøpt,har kjøpt,
å kjøre,kjører,kjørte,har kjørt,drive
å klemme,klemmer,klemte,har klemt,
å komme,kommer,kom,har kommet,
å låne,,,,
å legge,legger,la,har lagt,to put place lie
å lese,leser,leste,har lest,
å ligge ,ligger,lå,har ligget,lie, horizontal
å løp,løper,løpet,har løpet,
å lope,løper,løp,har løpt,
å love,,,,
å lytt,lytter,lyttet,har lytett,listen
å måte,mater,mater,har matet,
å måtte,må,måtte,har måttet,
å måtte,,,,
å møte,møter,møtte,har møttt,met
å ønske,ønsker,ønsket,har ønsket,
å passe,passer,,,to fit CHECK
å pleie,pleier,pleide,,get used to
å prate,prater,pratet,har pratet,talk
å reise,reiser,reiste,har reist,
å såve,sover,sovet,har sovet,
å savne,savner,savnet,har savnet,
å se,ser,så,har sett,see
å selge,selger,solgte,har solgt,sell
å sette ,setter,satte,har sagt,to set/place
å si,sier,sa,har sagt,
å sitte,sitter,satt,har sittet,
å skrive,skriver,skrev,har skrevet,
å skrive,skriver,skrev,har skrevet,
å snakke,snakker,,,
å spare,,,,save
å spise,spiser,spiste,har spist,
å spørre,,,,
å stå,står,sto,har stått,stand
å stave,staver,stavet,har stavet,
å stoppe av,slapper av,slappet av,,
å studere,studerer,,,
å synes,,,,think (personal opinion)
å synge,synger,sang,har synget,
å ta,ta,tok,har tatt,
å tenk,tenker,tenkt,har tenkt,
å treffe,,traff,har truffet,
,trenger,trengtet,,need
å tro,tror,,,believe (believe as fact or believe it is likely)
å være,værer,var,har vært,
å vare,,,,
å vaske,vasker,vasket,har vasket,
å vise,viser,viste,har vist,display
å vite,,visste,har visst,know
å vite,vet,visste,har visst,
å gå,går,gikk,hai gått,go
å ha,har,hadde,har hatt,have
å handle,handler,handlet,har handlet,Shop, deal
å hende,hender,hendte,har hendt,happen
å henge,henger,hssgte,har hengt,hang
å hente,henter,hentet,har hentet,fetch, bring, collect
a herske,hersker,hersket,nar hersket,govern, rule
å hete,heter,het/hette,har hett,be named
å hilse,hilser,hilste,har hilst,greetings
å hindre,hindrer,hindret,har hindret,øhsiiuct
å hjelpe,hjelper,hjalp,har hjulpet,help
å holde,holder,holdt,har holdt,keep, hold
å hoppe,hopper,hoppet,har hoppet,jump
å hoste,hoster,hoster,har hostet,cough
å huske,husker,husket,har husket,remember
å hviske,hvisker,hvisket,har hvisket,whisper
å høre,hører,hørte,har hørt,hear, listen
å håpe,håper,håpet,har håpet,hope
å identifisere,identifiserer,identifiserte,har identifisert,identify
å innrede,innreder,innredet,nar innredet,fit out/up
å interessere,interesserer,interesserte,har interessert,interest
å intervjue,mtervper,intervjuet,har intervjuet,interview
å invitere,inviterer,inviterte,har invitert,invite
å jakte,jakter,jaktet,har jaktet,hunt
å jobbe,jobber,jobbet,harjobbet,Work
å Jogge,jogger,jogget,har jogget,jog, run
å kalle,kaller,kalte,har kalt,call, name
å karakterisere,karakteriserer,karakteriserte,har karakterisert,characterise
å kaste,kaster,kastet,har kastet,throw
å kikke,kikker,kikket,har kikket,peep, take a look at
å kives,kives,kivdes,har kives/kvis,quarrel
å kjede,kjeder,kjedet,har kjedet,bore
å kjefte,kjefter,kjeftet,har kjeftet,scold, nag
å kjenne,kjenner,kjente,har kjent,know (person, place)
å kjøpe,kjøper,kjøpte,har kjøpt,purchase
å kjøre,kjører,kjørte,par kjørt,drive
å klare,klarer,klaret,har klart,suffice
å klare,klarer,klarte,har klart,manage
å klatre,klatrer,klatret,har klatret,climb
å kle,kler,kledde,hår kledd,dress
å klemme,klemmer,klemte,har klemt,hug
å klinge,klinger,klang,har kling(e)t,sound,ring
å klippe,klipper,klipte,har klipt,cut
å kneike,knekker,knakk,har knekt\knekket,break
å knipe,knip er,kne(i)p,har knepet,pinch
å knuse,knuser,knuste,Bar knust,break, smash, crush
å knytte,knytter,knyttet,har knyttet,tie
å koke,koker,kokte,har kokt,cook
å komme,kommer,kom,har kommet,come
å kontakte,kontakter,kontaktet,har kontaktet,contact
å kontrollere,kontrollerer,kontrollerte,har kontrollert,control, supervise
å konversere,konverserer,konverserte,har konveisert,make conversation
å kose,koser,koste,har kost,cuddle
å kose (seg),koser (seg),koste (seg),har kost (seg),enjoy oneself
å krangle,krangler,kranglet,har kranglet,quarrel
å kreve,krever,krevde,har krevd,demand
å kritisere,kritiserer,kritiserte,har kritisert,criticise
å krympe,krymper,krympet,har krympet,shrink, make smaller
å krype,kryper,krøp,har krøpet,crawl
å krysse,krysser,krysset,har krysset,cross, thwart
å kunne,kan,kunne,har kunnet,be able to
å kysse,kysser,kysset,har kysset,kiss
å la,lar,lot,har latt,let, allow
å lage,lager,laget,har laget,make, create
å lande,lander,landet,har landet,landjCome down
å lansere,lanserer,lanserte,har lansert,launch
å le,ler,lo,har ledd,laugh
å legge,legger,la,har lagt,lay, place
å feie,leier,leide,har leid,rent
å leke,leker,lekte,har lekt,play
å lemleste,lemlester,lemlestet,har lemlestet,mutilate
å lengte,lengter,lengtet,har lengtet,look forward to
å lese,leser,leste,har lest,read, study
å lete etter,leter etter,lette etter,har lett,look/search for
å leve,leyer,levde,har levd,live, be alive
å ligge,ligger,lå,har ligget,lie
å ligne/likne,ligner/likner,Iignet/liknet,har lignet/liknet,resemble, look alike
å like,liker,likte,har likt,like
å love,lover,lovde/lovet,har lovd/lovet,promise
å lukke,lukker,lukket,har lukket,close
å lukte,lukter,luktet,har luktet,smell
å lure (på),lurer (på),lurte (på),har lurt (på),wonder
å lyne,lyner,lynte,har lynt,lightning
å lyse,lyser,lyste,har lyst,give out light
å lytte,lytter,lyttet,har lyttet,listen
å lyve,lyver,løy,har løyet,lie
å Iære,lærer,lærte,har lært,learn, teach
å lafte,løfter,løftet,har løftet,life
å løpe,løper,løp,har løpt/løpet,run
å løse,løser,løste,har løst,loosen,
å låne,låner,lånte,har lånt,loan money, borrow
å lise,låser,låste,har låst,lock
å låte,låter,låt,har lått,sound
å male,maler,malte,har malt,paint
å mangle,mangler,manglet,har manglet,lack, have no, without
å mase,maser,maste,har mast,bother, nag
å skjelne,skjelner,skjelnet*,har skjelnet,distinguish, discern
å skjelle (på),skjeller (på),skjelte (på),har skjelt (ut),scold
å skjelle (ut),skjeller (ut),skjelte (ut),har skjelt (ut),abuse
å skjelve,skjelver,skalv,har skjelvet,shiver, tremble
å skjenne,skjenner,skjente*,har skjent,scold, tell off
å skjerpe,skjerper,har skjerpet,sharpen,
å skjerpe (seg),skjerper (seg),skjerpet (seg),har skjerpet (seg),get a grip of yourself
å skjære,skjærer,skar,har skåret,cut,slice
å skjønne,skjønner,skjønte,har skjønt,understand
å skride,skrider,skred(i)d,har skredet/skridd,stride
å skrike,skriker,skrek,har skreket,cry out, scream
å skrive,skriver,skrev,har skrevet,write
å skulle,skal,skullet,har skullet,shall, should
å skylle,skyller,skylte,har skylt,rinse
å skvnde,skynder,skyndte*,har skyndt*,hurry (up)
å skynde (seg),skynder (seg),skyndte (seg) *,har skyndt (seg)*,hurry
å skyte,skyter,skjøt,har skutt,shoot
å skyve,skyver,skjøv,har skjøvet,push, shove
å slanke,slanker,slanket,har slanket,slim
å slappe (av),slapper (av),slappet (av),har slappet (av),relax
å slippe,slipper,slapp,har sluppet,be let off
å slite,sliter,slet,har slitt,struggle
å slutte,slutter,sluttet,har sluttet,finish
å slå,slår,slo,har slått,hit, strike
å slåss,slåss,sloss,har slåss,fight
å smake,smaker,smakte,hai smakt,taste
å smette,smetter,smatt,har smettet,steal, creep
å smile,smiler,smilte,har smilt,smile
å smyge,smyger,smøg,har smøget,crawl, slip (away)
å smøre,smører,smurte,har smurt,spread
å snakke,snakker,snakket,har snakket,talk
å snike,sniker,snek*,har sneket,sneak
å snorke,snorker,snorket,har snorket,. snore
å snu,snur,snudde,har snudd,tura
å snø,snør,snødde,har snødd,snow
å sole,soler,solte,har solt,suntann oneself
å sove,sover,sov,har sovet,sleep
å sovne,sovner,sovnet,har sovnet,fall asleep.
å spandere,spanderer,spanderte,har spandert,treat (on food)
å spare,sparer,sparte,har spart,save
å spance,sparker,sparket,har sparket,kick
å speile,speiler,speilte,har speilt,reflection
å spille,spiller,spilte,har spilt,play (sports\games)
å spume,spinner,spant,har spunnet,soin
å Spise,spiser,spiste,har spist,eat
å sprekke,sprekker,sprakk,har sprukket,crack.burst
å sprette,spretter,spratt,har sprettet,bouna, bounce, jump
å spnnge,springer,sprang,har sprunget,run
å melde,melder,meldte,har meldt,announce, report
å mene,mener,mente,har ment,mean, think
å martre,merker,merket,har merket,notice
å miste,mister,tnistet,har mistet,lose
å mist entra,mistenker,mistenkte,har mistenkt,suspect
å møte,møter,møtte,har møtt,meet
å matte,må,måtte,har måttet,must, need to
å narre,narrer,narret*,har narret*,trick, fool, deceive
å nekte,nekter,nektet,har nektet,deny
å notere,noterer,noterte,har notert,note,take down
å nå,når,nådde,har nådd,reach
å operere,opererer,opererte,har operert,operate
å oppdage,oppdager,oppdaget,har oppdaget,dis cover
å oppfatte,oppfatter,oppfattet,har oppfattet,understand
å oppfordre,oppfordrer,oppfordret,har oppfordret,ask, call on, invite
å oppfylle,oppfyller,oppfylte,har oppfylt,fulfili
å oppføre,oppfører,oppførte,har oppført,build, perform,act
å oppføre (seg),oppfører (seg),oppførte (seg),har oppført (seg),behave
å oppleve,opplever,opplevde,har opplevd,experience, meet with
å oppreklamere,oppreklamerer oppreklamerte,har oppreklamert,advertise, boost,
å ordne,ordner,ordnet,har ordnet,fix
å orke,orker,orket,har orket,be able to, manage
å overdrive,overdriver,overdrev,har overdrevet,exaggerale
å overføre,overfører,overførte,har overført,transfer,transnait
å overnatte,overnatter,overnattet,har overnatter,spend the night
å overraske,overrasker,overrasket,har Overrasket,surprise, astonish
å oversette,oversetter,oversatte,har oversatt,translale
å overtale,overtaler,overtalte,har overtalt,persuade
å overvinne,overvinner,pvervant,har overvunnet,defea1,conquer
å ovetvmtte,overvintrer,overvintret,har overvintret,spend the winter
å a,pakke,pakker,pakket,har pakket
å parkere,parkerer,parkerte,har parkert,park
å passe,passer,passet,har passet,look after, match, suit
å peke,peker,pekte,har pekt,point
å planlegge,planlegger,planla,har planlagt,plan
å plaske,plasker,plasket,har plasket,splash
å pleie,pleier,pleide,har pleid,take care, usually do
å plombere,plomberer,plomberte,har plombert,fill (a cavity)
å plystre,plystrer,plystret,har plystret,whistle
å prate,praier,pratet,har pratet,talk
å prege preger,preget,har preget,stamp, mark,
å presentere,presenterer,presenterte,har presentert,introduce
å prute,pruter,prutet,har prutet,haggle, bargain
å prøve,prøver,prøvde,haf prøvd,try, attempt
å pugge,pugger,pugget*,har pugget*,study hard
å pusse,pusser,pusset,har pusset,clean
å pusse opp,pusser opp,pusset opp,har pusset opp,refurbish, remodel
å puste,puster,pustet,har pustet,breathe, inhale
å spøke,spøker,spøkte,har spøkt,joke
å spørre,spør,spurte,har spurt,ask
å starte,starter,starte*,har startet,start
å stave,staver,stavet,har stavet,spell
å steke,steker,stekte,har stekt,fry
å stelle,steller,stelte,har stelt,tend, nurse
å stemme,stemmer,stemte,har stemt,vote
å stige,stiger,ste(i)g,har steget,rise, mount, go up
å stikke,stikker,stakk,har stukket,stick, prick, sting
å stille,stiller,stilte,har stilt,to tune (tv.radio..)
å stirre,stirrer,stirret,har stirret,stare, gaze
å stjele,stjeler,stjal,har stjålet,steal
å stole (på),stole (på),stolte (på),har stolt (på),rely, depend on this
å stoppe,stopper,stoppet,har stoppet,stop
å strekke,strekker,strakk,har strukket,stretch
å streve,strever,strevet,har strevet,strive
å sftikke,strikker,strikket,har strikket,knit
å stryke,stryker,strøk,har strøket,icon, delete, cross out, fail
å strømme,strømmer,strømmet,har strøinmet,stream
å studere,studerer,studerte,har studert,study
å srupe,stuper,stupte,har stupt,dive
å støvsuge.,støvsuger,støvsugde,har støvsugd,vaccum
å stå,står,sto\stod,har stilt,stand
å sukke,sukker,sukket,har sukket,sigh
å svare,svarer,svarte,har svart,answer
å sVekke,svekker,svekte/svekket,har svekt/svekket*,weaken
å svette,svetter,svettet,har svettet,sweat
å svike,syiker,sve(i)k,har sveket,deceive, betray, cheat
å svikte,svikter,sviktet,har sviket,fail
å svinge,svinger,svingte,har svingt,turn
å svømme,svømmer,svømte,har svømt,swim
å sy,syr,sydde,har sydd,sew
å sykle,sykler,syklet,har syklet,cycle
å synes,synes/syns,syntes,har synes,think, consider, find
å synge,synger,sang,har sunget,sing
å synke,synker,sank,har sunket,sink, fall
å søke,søker,søkte,har søkt,seek, search
å søle,søler,søfte,harsøft,make a mess, soft
å ta,tar,tok,har tatt,take
å takke,takker,takket,har takket,thank
å tale,taler,talte,har talt,make a speech
å tape,taper,tapte,har tapt,lose
å tappe,tapper,tappet,har tappet,tap^draw
å taste,taster,tastet,har tastet,punch keyboard
å tegne,tegner,tegnet,har tegnet,draw
å telle,teller,telte,har telt,count
å tenke,tenker,tenkte,har tenkt,think
å tenne,tenner,tente,har tent,light a match, switch on
å terge,terger,terget,har terget,tease, provoke
å tillate,tillater,tillot,har tillatt,allow, permit
å titte,titter,tittet,har tittet,peep
å tjene,tjener,tjente,har tjent,earn
å tordne,tordner,tordnet,har tordnet,thunder
å tore,tør,torde,har tort,dare, venture
å transportere,transporterer,transporterte,har transportert,transport
å Uefie,treffer,traff,har truffet,meet, hit
å trskke (fra),trekker (fra),trakk (fra),har trukket (fra),subtract, deduct
å trene,trener,trente,har trent,tram
å trenge,trenger,trengte,har trengt,need
å trille,triller,trillet,hair trillet,roll,wheel
å trimme,trimmer,trimmet,har trimmet,exercise
å trives,trives,trivdes,har trives/trivs,thrive
å tro,tror,trodde,har trodd,believe
å true,truer,truet,har truet,threaten
å trykke,trykker,trykket,har trykket,press, print
å tvinge,tvinger,tvang,har tvunget,force, compel
å tyde,tyder,tydet,har tydet,make out
å tyde (på),tyder (på),tyder (på),har tydet (på),indicate
å tykke,tykker,tykket,har tykket,thick, fatten.
å tyne,tyner,tynte,har tynt,torment, kiil
å tørke,tørker,tørket,har tørket,dry
å tørre,tør,torde,har tort,dare
å underrette,underretter,underrettet,har underrettet,inform
å understreke,understreker,understreket,har understreket,emphasize
å undersøke,Undersøker,undersøkte,har undersøkt,examine
å undervise,underviser,underviste,har undervist,teach
å unnskylde,unnskylder,unnskyldte,har unnskyldt,excuse, pardon
å utføre,utfører,utførte,har utført,cany out, expoit
å utløpe,utløper,utløp,har utløpt,expire
å utmerke,utmerker,utmerket,har utmerket,distinguish
å utpeke,utpeker,utpekte,har utpekt,point out
å utsette,utsetter,utsatte,har utsatt,put off, postpone
å uttale,uttaler,uttalte,har uttalt,pronounce
å uttrykke,uttrykker,uttrykte,har uttrykt,expression
å vare,varer,varte,har vart,last
å varme,varmer,varmet,har varmet,warm
å vaske,vasker,vasket,har vasket,wash
å veie,veier,veide,har veid,weigh
å vekke,vekker,vekket,har vekket,wake, awake
å veksle,veksler,vekslet,har vekslet,exchange, change
å velge,velger,valgte,har valgt,choose
å vende,vender,vendte,har vendt,tura
å vente,venter,ventet,har ventet,wait, expect
å veike,verker,verket,har verket,ache, pain
å veve,vever,vevde,har vevd,weave
